glyph_name,ps_name,USV,DesignerOrder,bcp47tags,Feat
ghainThreedotsabove-ar.medi.ss09,uni08C3.medi.ss09,,997,ha,ss09
ghainThreedotsabove-ar.init.ss09,uni08C3.init.ss09,,998,ha,ss09
ghainThreedotsabove-ar.medi.flat.ss09,uni08C3.medi.flat.ss09,,999,ha,ss09
ghainThreedotsabove-ar.fina.low,uni08C3.fina.low,,1000,,
ghainThreedotsabove-ar.fina.low.ss09,uni08C3.fina.low.ss09,,1001,ha,ss09
feh-ar,uni0641,0641,1006,,
feh-ar.fina,uni0641.fina,,1007,,
feh-ar.medi,uni0641.medi,,1008,,
feh-ar.init,uni0641.init,,1009,,
veh-ar,uni06A4,06A4,1010,,
veh-ar.fina,uni06A4.fina,,1011,,
veh-ar.medi,uni06A4.medi,,1012,,
veh-ar.init,uni06A4.init,,1013,,
fehDotless-ar,uni06A1,06A1,1014,,
fehDotless-ar.fina,uni06A1.fina,,1015,,
fehDotless-ar.medi,uni06A1.medi,,1016,,
fehDotless-ar.init,uni06A1.init,,1017,,
fehDotmovedbelow-ar,uni06A2,06A2,1018,,
fehDotmovedbelow-ar.fina,uni06A2.fina,,1019,,
fehDotmovedbelow-ar.medi,uni06A2.medi,,1020,,
fehDotmovedbelow-ar.init,uni06A2.init,,1021,,
fehThreedotsbelow-ar,uni06A5,06A5,1028,,
fehThreedotsbelow-ar.fina,uni06A5.fina,,1029,,
fehThreedotsbelow-ar.medi,uni06A5.medi,,1030,,
fehThreedotsbelow-ar.init,uni06A5.init,,1031,,
fehTwodotsbelow-ar,uni0760,0760,1036,,
fehTwodotsbelow-ar.fina,uni0760.fina,,1037,,
fehTwodotsbelow-ar.medi,uni0760.medi,,1038,,
fehTwodotsbelow-ar.init,uni0760.init,,1039,,
fehThreedotsupbelow-ar,uni0761,0761,1040,,
fehThreedotsupbelow-ar.fina,uni0761.fina,,1042,,
fehThreedotsupbelow-ar.medi,uni0761.medi,,1044,,
